City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
61,Filadelfia,US,39.9523,-75.1638,67.26,55,90,4.0,overcast clouds
62,Arlit,NE,18.7369,7.3853,83.3,13,7,11.25,clear sky
63,Touros,BR,-5.1989,-35.4608,88.7,67,98,17.27,overcast clouds
64,Aksha,RU,50.2814,113.2867,26.94,54,100,4.99,overcast clouds
65,Mansa,IN,29.9833,75.3833,65.93,31,0,3.71,clear sky
66,Hay River,CA,60.8156,-115.7999,24.78,86,75,10.36,broken clouds
67,Bethel,US,41.3712,-73.414,59.56,55,75,1.01,broken clouds
68,Verkhniy Mamon,RU,50.1635,40.3832,34.74,42,100,11.3,light snow
69,Meulaboh,ID,4.1363,96.1285,76.26,87,100,4.25,moderate rain
70,Bredasdorp,ZA,-34.5322,20.0403,64.27,82,85,8.05,overcast clouds
71,Lagoa,PT,39.05,-27.9833,67.68,83,95,11.32,overcast clouds
72,Coffs Harbour,AU,-30.3,153.1333,73.36,94,40,6.91,scattered clouds
73,Bantry,IE,51.6833,-9.45,57.15,87,49,21.74,scattered clouds
74,Victoria,HK,22.2855,114.1577,72.32,55,100,3.0,overcast clouds
75,Maniitsoq,GL,65.4167,-52.9,19.27,55,6,7.16,clear sky
76,Sola,VU,-13.8833,167.55,77.67,100,75,0.0,broken clouds
77,Tabuk,PH,17.4189,121.4443,72.91,95,91,1.66,overcast clouds
78,Vila Velha,BR,-20.3297,-40.2925,71.55,96,90,3.0,moderate rain
79,Tilichiki,RU,60.4667,166.1,29.64,95,100,8.28,overcast clouds
80,Weilburg,DE,50.4833,8.25,40.14,78,1,1.43,clear sky
81,Shelburne,CA,44.0787,-80.2041,50.49,68,100,16.33,overcast clouds
82,Kangaatsiaq,GL,68.3065,-53.4641,14.0,89,100,5.68,overcast clouds
83,Sukhobezvodnoye,RU,57.0491,44.8891,34.05,91,73,10.65,broken clouds
84,Cape Town,ZA,-33.9258,18.4232,66.09,76,20,5.01,few clouds
85,The Pas,CA,53.8251,-101.2541,26.62,80,90,10.36,overcast clouds
86,Prado,BR,-17.3411,-39.2208,79.83,73,44,9.57,light rain
87,Ende,ID,-8.8432,121.6623,79.52,88,100,3.22,overcast clouds
88,Narrabri,AU,-30.3167,149.7833,68.09,83,90,11.5,overcast clouds
89,Hamilton,US,39.1834,-84.5333,70.03,72,75,1.01,moderate rain
90,Walvis Bay,NA,-22.9575,14.5053,60.1,84,0,5.95,clear sky
91,Barrow,US,71.2906,-156.7887,17.62,79,90,13.8,light snow
92,Aklavik,CA,68.2191,-135.0107,11.23,98,86,4.14,overcast clouds
93,Luderitz,NA,-26.6481,15.1594,69.64,51,0,19.95,clear sky
94,Slave Lake,CA,55.2834,-114.769,22.98,93,1,4.61,clear sky
95,Madang,PG,-5.2246,145.7966,75.38,92,100,4.83,overcast clouds
96,Mataura,NZ,-46.1927,168.8643,59.9,81,100,4.12,overcast clouds
97,Fernley,US,39.608,-119.2518,61.47,45,0,1.01,clear sky
98,Hermanus,ZA,-34.4187,19.2345,67.89,80,87,10.25,overcast clouds
99,Kenora,CA,49.8167,-94.4337,33.78,93,90,18.41,snow
100,Asau,RO,46.4333,26.4,40.95,61,74,4.76,broken clouds
101,Coihaique,CL,-45.5752,-72.0662,66.81,29,0,10.36,clear sky
102,Atasu,KZ,48.6814,71.6433,36.5,53,100,11.97,overcast clouds
103,Sarkand,KZ,45.41,79.9186,34.0,55,2,7.65,clear sky
104,Volnovakha,UA,47.601,37.4967,33.94,74,54,5.64,broken clouds
105,Itarema,BR,-2.9248,-39.9167,84.92,65,5,16.67,clear sky
106,Sakete,BJ,6.7362,2.6587,83.34,90,100,5.77,overcast clouds
107,New Norfolk,AU,-42.7826,147.0587,49.5,73,100,2.01,overcast clouds
108,Chokurdakh,RU,70.6333,147.9167,-2.94,99,100,3.31,overcast clouds
109,Rio Grande,BR,-32.035,-52.0986,73.51,61,97,15.05,overcast clouds
110,Kodiak,US,57.79,-152.4072,29.71,80,90,5.75,overcast clouds
111,Rio Gallegos,AR,-51.6226,-69.2181,62.65,20,20,20.71,few clouds
112,Port Elizabeth,ZA,-33.918,25.5701,66.09,82,40,13.8,scattered clouds
113,North Bend,US,43.4065,-124.2243,64.92,98,90,5.75,overcast clouds
114,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,66.83,51,11,13.62,few clouds
115,Nam Som,TH,17.7704,102.1895,74.03,86,100,1.99,overcast clouds
116,Khovu-Aksy,RU,51.1333,93.6,17.28,76,100,5.35,overcast clouds
117,Muroto,JP,33.2833,134.15,60.85,64,6,23.17,clear sky
118,Xining,CN,36.6167,101.7667,16.54,77,2,2.77,clear sky
119,Tuktoyaktuk,CA,69.4541,-133.0374,12.2,85,90,9.22,light snow
120,Grand Gaube,MU,-20.0064,57.6608,76.37,73,56,1.99,broken clouds
121,Tual,ID,-5.6667,132.75,84.45,71,100,4.92,overcast clouds
122,Clyde River,CA,70.4692,-68.5914,3.43,60,85,20.71,overcast clouds
123,Ewa Beach,US,21.3156,-158.0072,79.02,71,40,3.0,scattered clouds
124,Ribeira Grande,PT,38.5167,-28.7,70.2,88,40,11.5,scattered clouds
125,Holme,DK,56.1138,10.1725,47.75,88,98,9.33,overcast clouds
126,Atar,MR,20.5169,-13.0499,81.32,25,88,4.38,overcast clouds
127,Paamiut,GL,61.994,-49.6678,14.05,58,10,5.61,clear sky
128,Ostrovnoy,RU,68.0531,39.5131,31.89,93,100,15.79,overcast clouds
129,Coahuayana,MX,18.7333,-103.6833,89.08,54,35,6.93,scattered clouds
130,San Lawrenz,MT,36.0553,14.204,62.85,70,0,5.41,clear sky
131,Omboue,GA,-1.5746,9.2618,76.42,91,98,4.65,overcast clouds
132,Waingapu,ID,-9.6567,120.2641,79.9,84,100,5.3,overcast clouds
133,Lakota,CI,5.8528,-5.6883,74.05,96,100,2.86,light rain
134,Gondanglegi,ID,-7.7479,112.0132,75.18,91,100,11.81,overcast clouds
135,Dingle,PH,10.9995,122.6711,76.17,94,100,7.99,overcast clouds
136,Hilo,US,19.7297,-155.09,82.27,70,90,10.36,overcast clouds
137,Kloulklubed,PW,7.0419,134.2556,77.5,74,100,9.06,overcast clouds
138,Ambilobe,MG,-13.2,49.05,77.0,81,100,4.61,overcast clouds
139,Faanui,PF,-16.4833,-151.75,79.34,73,65,14.63,broken clouds
140,Noyabrsk,RU,63.1994,75.4507,-0.83,98,81,11.77,broken clouds
141,Mar Del Plata,AR,-38.0023,-57.5575,66.22,85,0,27.0,clear sky
142,Sitio Novo Do Tocantins,BR,-5.5183,-47.4611,91.33,52,75,9.22,broken clouds
143,Saint-Philippe,RE,-21.3585,55.7679,74.79,78,42,6.26,scattered clouds
144,Carballo,ES,43.213,-8.691,56.62,85,8,3.18,clear sky
145,Skjervoy,NO,70.0311,20.9714,37.58,84,100,11.9,light snow
146,Palmer,US,42.1584,-72.3287,59.32,30,75,4.0,broken clouds
147,De Aar,ZA,-30.6497,24.0123,75.42,21,0,10.8,clear sky
148,Langarud,IR,37.197,50.1535,51.78,93,100,6.22,overcast clouds
149,Isangel,VU,-19.55,169.2667,73.51,88,77,4.61,broken clouds
150,Cabo San Lucas,MX,22.8909,-109.9124,87.62,60,1,1.01,clear sky
151,Kaitangata,NZ,-46.2817,169.8464,57.58,91,100,4.43,light rain
152,Dzhebariki-Khaya,RU,62.2167,135.8,9.97,98,99,3.09,overcast clouds
153,Tasiilaq,GL,65.6145,-37.6368,30.36,95,100,13.91,light snow
154,Saskylakh,RU,71.9167,114.0833,-25.38,100,70,4.85,broken clouds
155,Tautira,PF,-17.7333,-149.15,82.42,76,46,14.32,scattered clouds
156,Katherine,AU,-14.4667,132.2667,82.72,74,75,8.05,broken clouds
157,Mount Isa,AU,-20.7333,139.5,67.77,68,90,16.11,overcast clouds
158,Rochester,US,43.1548,-77.6156,59.63,50,75,5.01,broken clouds
159,Ixtapa,MX,20.7,-105.2,83.43,58,1,0.0,clear sky
160,Upernavik,GL,72.7868,-56.1549,18.61,63,100,14.65,overcast clouds
161,Saint George,US,37.1041,-113.5841,68.47,35,1,1.01,clear sky
162,Birin,NP,26.8865,88.0718,50.31,76,96,4.29,overcast clouds
163,Mareeba,AU,-17.0,145.4333,75.92,98,39,0.45,scattered clouds
164,Cap Malheureux,MU,-19.9842,57.6142,76.46,73,64,1.99,broken clouds
165,Gemena,CD,3.25,19.7667,71.65,96,99,0.29,overcast clouds
166,Lompoc,US,34.6391,-120.4579,83.41,56,1,0.0,clear sky
167,San Cristobal,VE,7.7669,-72.225,77.18,46,98,4.76,overcast clouds
168,Deputatskiy,RU,69.3,139.9,-5.04,100,100,0.87,overcast clouds
