City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
540,Macau,MO,69.6,clear sky,22.2006,113.5461,Grand Emperor Hotel
541,Leon,MX,77.14,clear sky,21.1167,-101.6667,ENTERPRISE INN POLIFORUM
542,San Policarpo,PH,81.09,overcast clouds,12.1791,125.5072,Agapita M. Nicart
543,Gamba,GA,76.95,overcast clouds,-2.65,10.0,
548,Elat,IL,69.64,clear sky,29.5581,34.9482,Club Hotel Eilat
550,Kupang,ID,79.57,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
552,Vinukonda,IN,70.65,light rain,16.05,79.75,VLS Residency
553,Puri,IN,75.72,broken clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
554,Veinticinco De Mayo,AR,79.99,scattered clouds,-35.4323,-60.1727,Estancia La Rosada
555,Pihuamo,MX,80.49,clear sky,19.2499,-103.3828,Hotel Primavera
556,Dumai,ID,73.99,light rain,1.6833,101.45,Grand Zuri Dumai
557,Kahului,US,79.84,few clouds,20.8947,-156.47,Maui Seaside Hotel
558,Ojinaga,MX,78.57,clear sky,29.5667,-104.4167,Suites Las Palmas
559,Balikpapan,ID,75.24,moderate rain,-1.2675,116.8289,ibis Balikpapan
563,Memari,IN,78.66,scattered clouds,23.2,88.1167,Kanishka Chandra khan
566,Tanete,ID,76.77,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
567,Kilindoni,TZ,80.69,few clouds,-7.9139,39.6668,Bustani B&B
569,Luang Prabang,LA,70.84,overcast clouds,19.8856,102.1347,The Apsara
570,Bambanglipuro,ID,75.4,overcast clouds,-7.95,110.2833,Puri Brata
572,Praya,CV,81.14,few clouds,14.9215,-23.5087,LT Aparthotel
573,Honiara,SB,78.57,overcast clouds,-9.4333,159.95,Heritage Park Hotel
574,Doka,SD,83.37,scattered clouds,13.5167,35.7667,
580,Alugan,PH,80.53,overcast clouds,12.2188,125.4808,JM Lodge
581,Asyut,EG,71.78,overcast clouds,27.181,31.1837,Florence Hotel Assiut
591,Lere,NG,75.97,broken clouds,10.387,8.5726,
592,Guarapari,BR,71.49,light rain,-20.6667,-40.4975,Hotel Porto do Sol
593,Ilhabela,BR,68.4,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
595,Kaduqli,SD,84.16,overcast clouds,11.0167,29.7167,فندق الله جابو
596,Bambous Virieux,MU,76.21,light rain,-20.3428,57.7575,Casa Tia Villa
601,Toamasina,MG,80.6,scattered clouds,-18.1667,49.3833,Hotel H1
603,Coari,BR,84.99,overcast clouds,-4.085,-63.1414,HOTEL ALEX FLAT
605,Gaoual,GN,79.81,overcast clouds,11.75,-13.2,Hotel koliba
606,Dwarka,IN,80.26,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
613,Pacifica,US,69.62,few clouds,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
614,Amod,IN,72.63,overcast clouds,21.9833,72.9,"Aman Residency,Bhimpura."
615,Havelock,US,75.97,broken clouds,34.8791,-76.9013,Sherwood Motel
616,Talara,PE,77.76,clear sky,-4.5772,-81.2719,Hostal Oro Negro
618,Kulhudhuffushi,MV,81.93,few clouds,6.6221,73.07,Haajy Guest House 1
620,Mocuba,MZ,75.79,overcast clouds,-16.8392,36.9856,Phama Lodge
621,Businga,CD,70.93,overcast clouds,3.3333,20.8833,
623,Keti Bandar,PK,79.34,overcast clouds,24.1447,67.4497,Haji laloo memon house
628,Bataipora,BR,81.25,overcast clouds,-22.2953,-53.2711,Hotel Vale do Ivinhema
629,Matara,LK,77.79,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
631,Bhainsa,IN,69.53,broken clouds,26.9548,76.9012,Satto pawta
632,Morros,BR,80.55,overcast clouds,-9.4467,-46.3003,
635,Praia Da Vitoria,PT,71.85,few clouds,38.7333,-27.0667,Hotel Branco I
